key,value
name,iPhone 13
d,2021-09-24
iv,15.0
v,18.2
bv,18.3 beta 1
s,2
lastUpdated,2024-12-18

versions
version,releaseDate,beta
18.3 beta 1,2024-12-16,1
18.2,2024-12-11,
18.1.1,2024-11-19,
18.1,2024-10-28,
18.0.1,2024-10-03,
18.0,2024-09-16,
17.7,2024-09-16,
17.6.1,2024-08-07,
17.6,2024-07-29,
17.5.1,2024-05-20,
17.5,2024-05-13,
17.4.1,2024-03-21,
17.4,2024-03-05,
17.3.1,2024-02-08,
17.3,2024-01-22,
17.2.1,2023-12-19,
17.2,2023-12-11,
17.1.2,2023-11-30,
17.1.1,2023-11-07,
17.1,2023-10-25,
17.0.3,2023-10-04,
17.0.2,2023-09-26,
17.0.1,2023-09-22,
17.0,2023-09-18,
16.7,2023-09-21,
16.6.1,2023-09-07,
16.6,2023-07-24,
16.5.1,2023-06-21,
16.5,2023-05-18,
16.4.1,2023-04-07,
16.4,2023-03-27,
16.3.1,2023-02-13,
16.3,2023-01-23,
16.2,2022-12-13,
16.1.1,2022-11-09,
16.1,2022-10-24,
16.0.3,2022-10-10,
16.0.2,2022-09-22,
16.0,2022-09-12,
15.7,2022-09-12,
15.6.1,2022-08-17,
15.6,2022-07-20,
15.5,2022-05-16,
15.4.1,2022-03-31,
15.4,2022-03-14,
15.3.1,2022-02-10,
15.3,2022-01-26,
15.2.1,2022-01-12,
15.2,2021-12-13,
15.1.1,2021-11-17,
15.1,2021-10-25,
15.0.2,2021-10-11,
15.0.1,2021-10-01,
15.0,2021-09-24,
