key,value
name,iPhone 15 Pro
d,2023-09-22
iv,17.0
v,18.2
bv,18.3 beta 1
s,2
lastUpdated,2024-12-18

versions
version,releaseDate,beta
18.3 beta 1,2024-12-16,1
18.2,2024-12-11,
18.1.1,2024-11-19,
18.1,2024-10-28,
18.0.1,2024-10-03,
18.0,2024-09-16,
17.7,2024-09-16,
17.6.1,2024-08-07,
17.6,2024-07-29,
17.5.1,2024-05-20,
17.5,2024-05-13,
17.4.1,2024-03-21,
17.4,2024-03-05,
17.3.1,2024-02-08,
17.3,2024-01-22,
17.2.1,2023-12-19,
17.2,2023-12-11,
17.1.2,2023-11-30,
17.1.1,2023-11-07,
17.1,2023-10-25,
17.0.3,2023-10-04,
17.0.2,2023-09-26,
17.0.1,2023-09-22,
17.0,2023-09-22,
